Date,sentiment_score,polar_score
2011-11-22,-0.6124,-1.2248
2012-04-18,0.0,0.0
2012-05-03,0.4588,0.9176
2012-05-22,0.3182,0.6364
2012-06-07,0.4767,0.9534
2012-07-03,0.0,0.0
2012-07-17,0.7579,1.5158
2012-08-29,0.0,0.0
2012-09-14,0.0,0.0
2012-09-24,0.0,0.0
2012-10-08,-0.4019,-0.8038
2012-10-23,0.2023,0.4046
2012-11-02,0.4215,0.843
2012-12-04,0.0,0.0
2012-12-06,0.0,0.0
2012-12-07,0.0,0.0
2012-12-10,0.0,0.0
2012-12-11,0.0,0.0
2012-12-13,0.0,0.0
2012-12-20,0.0,0.0
2012-12-21,0.0,0.0
2012-12-26,0.0,0.0
2012-12-28,0.0,0.0
2013-01-02,0.0,0.0
2013-01-03,0.0,0.0
2013-01-04,0.0,0.0
2013-01-07,0.0,0.0
2013-01-09,0.0,0.0
2013-01-14,0.0,0.0
2013-01-18,0.0,0.0
2013-01-21,0.0,0.0
2013-01-22,0.0,0.0
2013-01-24,0.0,0.0
2013-01-28,0.0,0.0
2013-01-30,0.0,0.0
2013-02-01,0.0,0.0
2013-02-07,0.0,0.0
2013-02-08,0.0,0.0
2013-02-14,0.2481,0.4962
2013-02-18,0.0,0.0
2013-02-20,0.0,0.0
2013-02-21,0.0,0.0
2013-02-22,-0.2023,-0.2023
2013-02-28,0.0,0.0
2013-03-01,0.0,0.0
2013-03-07,0.0,0.0
2013-03-08,0.0,0.0
2013-03-11,0.0,0.0
2013-03-22,0.0,0.0
2013-03-25,0.0,0.0
2013-03-29,0.0,0.0
2013-04-03,0.0,0.0
2013-04-08,0.0,0.0
2013-04-09,0.0,0.0
2013-04-12,0.0,0.0
2013-04-15,0.0,0.0
2013-04-16,-0.3182,-0.6364
2013-04-24,0.0,0.0
2013-04-26,0.0,0.0
2013-04-29,0.0,0.0
2013-05-06,-0.5442,-1.0884
2013-05-07,0.0,0.0
2013-05-13,0.0,0.0
2013-05-14,0.0,0.0
